# d0	d1	e0	e1	f0	f1	g0	g1
2.115429536301109525e+00 -3.192365831397974731e-03 1.136223548708054976e+00 1.989753775181104245e-01 4.077285756546794593e-01 1.195169405135301094e-01 1.244873894663351077e+00 9.624462036592998371e-02
2.162378778501574672e+00 -6.730437772072012104e-02 1.157358006436334685e+00 4.259145648978961973e-01 4.046273166229445439e-01 8.108452245490119226e-02 1.274965680924298628e+00 1.764298702400612928e-01
2.291829501858864138e+00 7.412403903678734807e-01 1.032122558139561663e+00 -6.068908772842940974e-02 4.314545899441748489e-01 2.409714795575273183e-01 1.250396797654507397e+00 1.767086122497231460e-01
2.802496515184933479e+00 -2.243098936585823377e-01 9.450433062074118373e-01 2.314883301031269991e-01 4.785163416005669967e-01 9.217937153962735275e-02 1.320951259735760663e+00 1.009158062362284364e-01
2.081131834479353682e+00 -2.012562012082353552e-02 1.164745951525492984e+00 5.335323409058351229e-01 3.987155823301233304e-01 5.497110558872590064e-02 1.232556158431451721e+00 1.505942013315278438e-01
2.138708439738895795e+00 8.752556163494472352e-02 1.172243136449701684e+00 3.426637497115537778e-01 3.965004157526825224e-01 1.012053961131570701e-01 1.268437207473417372e+00 2.252404488069306709e-01
2.060612820566133152e+00 -2.274781203992194689e-02 1.124423673957567926e+00 3.280413604186603327e-01 4.096667714480526912e-01 8.841637867811154294e-02 1.223177039287392187e+00 1.059943261881282212e-01
1.945187593289001926e+00 -1.717737091547520967e-01 1.056706615487247758e+00 3.347357100926847684e-01 4.117148904858936032e-01 7.279885779183527250e-02 1.194835430925280439e+00 1.213150155681367096e-02
2.397168894286977991e+00 -7.066170469489178874e-02 1.005038921759719095e+00 2.447367087443602929e-01 4.440398991809888507e-01 1.038281623225995182e-01 1.280844088929231406e+00 1.276966429296671479e-01
2.531844080781701756e+00 -1.967009638083434542e-01 9.279826967080169187e-01 1.342607536441353111e-01 4.617313474068773238e-01 1.140649124812966597e-01 1.268738872272095586e+00 2.574445775871107497e-02
1.660350650328136890e+00 -1.728610123839649515e-02 1.554184297715655694e+00 2.535888624022117899e-01 3.127172193554867974e-01 1.127825628864233404e-01 1.186606468722051666e+00 5.207098890728619617e-02
2.242750021198864907e+00 2.698688076365493016e-01 1.076292194288539283e+00 2.291726310140472789e-01 4.285979256400409554e-01 1.412264068608869438e-01 1.257288164569579481e+00 1.994231005730967843e-01
1.619115511489758408e+00 1.059639319215132693e-02 1.944544022949534323e+00 1.645747674034033214e-01 2.712925787921430798e-01 1.315667571541578040e-01 1.183710656477298784e+00 7.420655827986868958e-02
2.105591912012671596e+00 1.151300436716610753e-01 1.134680464779679321e+00 2.235123512063983131e-01 4.042017026404495228e-01 1.291052843359196400e-01 1.245674306644476204e+00 1.610640743159672261e-01
2.305821641380688458e+00 9.892486815829978908e-02 1.057436955999446759e+00 3.200174179257847529e-01 4.458856264783930268e-01 9.837694690610461479e-02 1.287211288632591710e+00 2.385623453344986877e-01
1.713538980746742046e+00 -3.813160808987803296e-02 1.436464788166921247e+00 3.155160133101206910e-01 3.350885920404290119e-01 9.551442208053971539e-02 1.185780335688312759e+00 6.222002086676865773e-02
2.035891163168937812e+00 -3.420818675695447286e-02 1.039782143636819534e+00 3.162749202703750706e-01 4.143824517710652522e-01 8.025526602463550763e-02 1.213354787250048084e+00 7.552554423432523978e-02
2.071130730137347609e+00 2.033696517674576237e-02 1.182355340613836292e+00 3.236948461792954479e-01 3.868332031674985849e-01 1.033603411785129350e-01 1.249495451163610049e+00 1.502357769457363934e-01
2.324149347280365596e+00 -2.777958431107886983e-01 9.035016077968683890e-01 2.831142166013164707e-01 4.530023207965969134e-01 6.565771675719285494e-02 1.223591072790708667e+00 1.594735748770976375e-02
2.106971480147309617e+00 -1.250022952761035699e-01 1.024474008427444183e+00 4.691637266628252423e-01 4.209400490078035184e-01 5.117518818649149925e-02 1.221963807660171542e+00 9.283293332509173768e-02
2.005517770457915905e+00 3.978880737504597587e-02 1.278823602288973182e+00 2.246634918947592596e-01 3.654800718636845303e-01 1.241791494380576621e-01 1.244192815767252380e+00 1.263193447263944724e-01
2.531704185359976211e+00 -2.887883515080527097e-01 9.846203038217479220e-01 2.364976308350120182e-01 4.515400809354571110e-01 1.021581961155510060e-01 1.295330671186559091e+00 6.372443570816856140e-02
2.347838082641966917e+00 5.435213863876431351e-01 1.103594985326430411e+00 1.186024293408973057e-01 4.269251152841108121e-01 1.937607896868459578e-01 1.301412572131669165e+00 3.040941390021096868e-01
2.419634533520124364e+00 -6.164425983748483828e-01 9.274991782237687055e-01 1.171611969557892069e-01 4.627647961358715145e-01 8.303774209362085879e-02 1.228023015668056050e+00 -9.719682977810373270e-02
2.054045870349407110e+00 3.582692671389515748e-01 1.188245775137087179e+00 -1.682569034928827756e-01 3.692200626001796437e-01 2.190460363943345645e-01 1.229967894241478898e+00 7.294189536889038317e-02
2.461592138525579898e+00 -3.282997176017679597e-02 9.584551520407773584e-01 3.280423758121343014e-01 4.625757360719709443e-01 7.997168545501080750e-02 1.270276619621170777e+00 1.675301596828619732e-01
1.873222941215051840e+00 1.538504281389144746e-01 1.290011891795886489e+00 2.163477523715782447e-01 3.689698591898741831e-01 1.332788037966248784e-01 1.212131094057404157e+00 1.599889420442263122e-01
2.423888465465162678e+00 -3.167347484501953914e-01 9.009895807373335952e-01 2.555763380751370217e-01 4.612349931692339422e-01 7.255838207689913055e-02 1.233044585948879002e+00 2.713315933208073835e-02
2.033508087051950408e+00 1.471845872986056181e-01 1.134108494867422490e+00 2.683198509135029108e-01 4.033010650426212540e-01 1.060915119812522039e-01 1.247753962660209881e+00 1.706143318695217126e-01
2.331840175889178912e+00 1.728379436823716808e-01 1.025876166011458368e+00 2.300670603979786677e-01 4.366871796536319073e-01 1.295409576601699864e-01 1.274921937572941255e+00 2.021826131762920198e-01
1.829980216038055163e+00 -3.760742065037237652e-02 1.375274373842115594e+00 2.413942910720899837e-01 3.440596148289007394e-01 1.118933638932542718e-01 1.218143514525958704e+00 6.770262067959713359e-02
1.922926540679462670e+00 1.436049804826954879e-01 1.185547131612843641e+00 3.148355133086472302e-01 3.910672228029366537e-01 9.093630931245497151e-02 1.225553355848546966e+00 1.668331120226693720e-01
2.035115317290595360e+00 -2.285953697644556304e-01 1.077933272086282646e+00 3.756914337283946415e-01 3.960891422174510068e-01 6.985565404183301241e-02 1.207781154605000573e+00 3.495728743804769976e-03
2.100054266269906655e+00 -5.636071399194399201e-02 1.084153866974868263e+00 2.977851479317292216e-01 4.117214561425548980e-01 9.835654745108184105e-02 1.233453818158160464e+00 7.868859079084293551e-02
2.168082504601887006e+00 2.317722224420573907e-01 1.142009727269167607e+00 2.338622133334961883e-01 4.057476727637280289e-01 1.293000039505309562e-01 1.269387782364569617e+00 2.077991305825093449e-01
2.135863494744055124e+00 -2.886434161727994066e-03 1.096333317285911990e+00 3.227551766553002355e-01 4.160621159304369598e-01 9.098372226761533565e-02 1.227060698537780326e+00 1.085573394562792393e-01
1.952198408708561539e+00 9.612493445464645458e-02 1.184987209331829661e+00 2.265956245884519216e-01 3.941878661592292388e-01 1.160321080094428442e-01 1.228725783928699355e+00 1.278580443861907778e-01
3.506148864376519292e+00 -6.935150287088778231e-01 8.034117079488312108e-01 3.541625809128513547e-01 5.898258170800079192e-01 3.533523954977116268e-03 1.381519736900863826e+00 1.395742489155746280e-01
2.247577897295678806e+00 -1.543610927511336051e-01 9.609701470992751959e-01 2.839552413912212470e-01 4.375631949536720744e-01 8.739512341434545195e-02 1.229587304860197072e+00 4.352627517950677372e-02
