# d0	d1	e0	e1	f0	f1	g0	g1
1.662151037819124821e-02 3.302664309051946828e-02 8.050346979893893348e-03 1.868131283915820326e-02 7.094577380438705193e-04 1.440684457419755954e-03 2.019922556069442341e-04 8.454184753957701831e-04
1.727773053922713326e-02 3.043323686131418904e-02 6.639889933974056462e-03 1.948139845248879690e-02 5.859380099846132200e-04 1.490396540462385951e-03 2.814799289147964351e-04 8.622154317696577308e-04
1.411196746400580904e-02 1.292022158518776886e-01 3.311948908801334423e-03 1.714988813210134924e-02 4.876969177539589029e-04 3.147249168792501644e-03 2.057061480158309274e-04 3.034794262677049763e-03
1.313349786118363227e-01 1.673255958089349127e-01 9.040491965993600540e-03 2.354842836708792922e-02 3.539952578162705501e-03 6.657505035455572699e-03 1.287493286725569517e-03 1.747866975243281360e-03
1.484136849699125779e-02 6.096652012492227019e-02 1.177575329704630067e-02 7.139540841962614681e-02 8.207048092202649152e-04 4.510130713879089738e-03 1.784104175680607167e-04 8.370247892594993508e-04
1.410365267764933893e-02 2.375508996394756073e-02 5.317406675027075251e-03 1.432353157935156718e-02 4.452610305711484956e-04 1.062691498423507701e-03 2.526219739311010969e-04 8.180709375466005276e-04
1.773666691523344274e-02 3.711060300382167110e-02 1.126661826508181669e-02 4.171836007977592492e-02 9.481751830471345189e-04 2.899798057696450788e-03 1.772542738854800853e-04 6.949928647520673330e-04
2.295106810612906542e-02 4.591801435235888518e-02 1.161627613671699540e-02 3.282397985448563815e-02 8.664225474993784547e-04 1.963542972013150069e-03 2.272203996075871290e-04 7.530177844525780132e-04
3.230335526421916625e-02 7.156487488914341222e-02 3.201638947576600659e-03 1.251478006024886458e-02 6.341151868640599069e-04 1.942919326680006380e-03 5.223313944392402866e-04 1.347560698756996309e-03
6.827714014949146093e-02 1.892110380913188394e-01 5.451776151025006061e-03 2.228221868600838845e-02 1.490136338373826332e-03 4.961227473198735749e-03 6.959713156605239594e-04 2.107874230051182563e-03
6.686497516607634722e-03 1.631286855738674907e-02 3.485320359674069779e-02 8.990880674733149613e-02 5.807434168665830208e-04 1.508626000021407246e-03 9.981079700473639990e-05 5.282008801824411917e-04
2.883022889622428170e-02 1.906625466951543113e-01 8.064700606472723771e-03 5.925658121127443112e-02 1.020637406479692590e-03 7.371322704312234866e-03 3.100633264110281596e-04 2.497570944316550908e-03
2.537520468652886604e-03 1.233174880526929917e-02 3.976138484536934775e-02 1.648259936623245603e-01 3.904881268144800655e-04 1.894668059150776251e-03 5.245175370997215701e-05 5.159934133091346022e-04
1.913469494191870346e-02 4.534218885951273731e-02 8.645617222247322514e-03 2.646987717993330366e-02 6.744164382048224195e-04 1.952557994468579698e-03 2.812366590004266318e-04 1.101388995756936561e-03
3.690114559105583947e-02 5.622791740990281534e-02 6.878848672713619959e-03 1.670923836277591820e-02 8.953887563722864179e-04 1.914541367006737356e-03 5.873734955626684585e-04 1.197305881000752890e-03
1.091472013267463272e-02 1.234590561227263787e-02 3.192752922608016464e-02 5.286653907523952006e-02 7.713401447513834304e-04 1.175090363670808907e-03 1.324287837013249185e-04 6.014221590622580507e-04
2.368674509799088834e-02 2.616685014064443898e-02 6.849937438245595582e-03 1.522132725078578601e-02 6.625626138167564324e-04 1.108457811536746633e-03 2.824784151365356769e-04 6.437048833006206233e-04
1.545331553325837368e-02 3.075846757696224995e-02 9.569846967131779084e-03 2.198517264436734148e-02 6.207419155695949233e-04 1.407705696431320146e-03 2.221397644198978187e-04 8.468647648764064759e-04
1.036366941287673038e-01 1.160877549488578131e-01 1.021288235539814099e-02 2.337111343050794418e-02 2.102451217294611097e-03 3.606487311640250298e-03 8.895664580779985477e-04 1.057745105637585611e-03
2.393728564707216580e-02 2.632233284559652026e-02 6.371358563030236725e-03 1.591825858717009837e-02 6.862311433961134884e-04 1.190680720097773244e-03 2.715086397736118039e-04 6.602468201862564433e-04
1.251872099988009246e-02 3.102728537097937042e-02 1.324161723106319355e-02 3.572814919562614794e-02 6.634354684316150913e-04 1.765454423213291086e-03 1.789350900616793806e-04 8.587281294365983839e-04
4.989559119324527003e-02 7.722615821837301719e-02 6.124103938844607624e-03 1.492789468928419280e-02 1.268428009504172452e-03 2.666122834969014439e-03 5.844617500338628036e-04 1.037375546017710749e-03
