# f0	f1	g0	g1
4.347831028384580021e-01 1.407322249814497717e-01 1.187300355070224800e+00 -4.707746123764788848e-02
4.321728706875701542e-01 1.382112830554840244e-01 1.186659280934982519e+00 -9.240711648427080149e-02
4.325413792390888634e-01 1.355918392764596803e-01 1.182379884577254625e+00 -5.742050280578681054e-02
4.198223641004699136e-01 1.371901686943326482e-01 1.184970925076009651e+00 -6.563533201468541023e-02
4.375040728423302827e-01 1.372118933925898787e-01 1.179637160296456821e+00 -6.686466646825284244e-02
4.276163390289334787e-01 1.296925568587621314e-01 1.184830827130395114e+00 -8.612794474943941125e-02
4.410379587707538018e-01 1.324399531819873133e-01 1.189366995371159197e+00 -5.240077467635195774e-02
4.247842403630798236e-01 1.406510466847525898e-01 1.194027487500572304e+00 -3.266424602923567733e-02
4.191610547162831768e-01 1.457725193647236850e-01 1.179565408029655149e+00 -4.960204797291822842e-02
4.118890332961360201e-01 1.465699392581774063e-01 1.180150365211415586e+00 -2.307061351398687066e-02
4.141780329103557090e-01 1.387725176009402261e-01 1.190836404284267402e+00 -6.138253613795718877e-02
4.359071800175864375e-01 1.467507594323054221e-01 1.180001774018029748e+00 -6.067473696364977798e-02
4.300068056913072256e-01 1.391933875584121516e-01 1.180558269704588881e+00 -4.667444118851449275e-02
4.285438463796360509e-01 1.440564854002546191e-01 1.183030644901903017e+00 -5.598597400951810243e-02
4.388249377442166033e-01 1.357510353819959548e-01 1.187575761696547438e+00 -5.855684516205350576e-02
4.209918951300339884e-01 1.278672067821005065e-01 1.190160496464232942e+00 -9.036239995597084018e-02
4.199021492207005712e-01 1.354006334243682552e-01 1.194100020678124485e+00 -4.742975613659883294e-02
4.230171988776448844e-01 1.378869044635262497e-01 1.187430539945091290e+00 -7.653679863477425016e-02
4.066646610494637493e-01 1.483660567812075115e-01 1.187850476304289193e+00 -4.220764192361148304e-02
4.199805855650328157e-01 1.410655399713691693e-01 1.187906631776231681e+00 -6.976123568222103444e-02
4.260921033547019343e-01 1.351210444557748858e-01 1.187386715960205397e+00 -9.060652704415872449e-02
4.219664251434122049e-01 1.447417107177457751e-01 1.190188916208195558e+00 -5.697510058140942135e-02
4.340917366591546811e-01 1.417993228229894598e-01 1.179348064089231762e+00 -6.950001394897675766e-02
4.232541149865540753e-01 1.293340239993279184e-01 1.173713732206555393e+00 -4.297397590808760270e-02
4.164118383952502001e-01 1.286501699605349103e-01 1.186801091032843702e+00 -7.591520274388940948e-02
4.241590256378307000e-01 1.397810074141339065e-01 1.182770539948383881e+00 -6.002446283594942145e-02
4.299401037031558293e-01 1.451918246850749661e-01 1.180293731259104195e+00 -5.015406250712572955e-02
4.073379420709040133e-01 1.540734996483701380e-01 1.177720727062901318e+00 -2.744723295117701412e-02
4.272725715738820984e-01 1.262662004758245970e-01 1.194339684781708266e+00 -8.145785075728984026e-02
4.219431401358358924e-01 1.450032064209656468e-01 1.178675220780122324e+00 -5.402181413727458192e-02
4.197754093476037118e-01 1.320460895140072033e-01 1.194473116176075544e+00 -7.481084241321056538e-02
4.309971991086217757e-01 1.219593615708638445e-01 1.197911803584895019e+00 -6.994036868285791186e-02
4.141361383066997082e-01 1.378699611125204783e-01 1.187707180594754330e+00 -5.859092785151176486e-02
4.282476334634844894e-01 1.407971449263873964e-01 1.191032167270942299e+00 -6.440596215667504509e-02
4.293994731969502654e-01 1.351391373330930179e-01 1.186175842657664070e+00 -7.781483412528622523e-02
4.361485312778792256e-01 1.450024781616878755e-01 1.178545097260383034e+00 -3.863250166616172265e-02
4.331918536241696760e-01 1.380892451609372351e-01 1.195647376949546814e+00 -5.965231058670106279e-02
4.195184852376030449e-01 1.534232930974792630e-01 1.179999149906246325e+00 -4.433369112772389542e-02
4.142306452395736471e-01 1.459118874677374222e-01 1.189057440500423724e+00 -5.457657678569205473e-02
